"Horodateur","J'accepte de répondre à ce questionnaire et que les données soient utilisées de manière anonyme.","Sexe","Tranche d'âge en année","Fonction en structure d'urgence","Depuis le début de votre carrière, depuis combien d'années participez-vous à la médecine d'urgence ? (Pour les médecins : internat compris) ","Type de structure","Postes exercés","Selon vous, quelles seraient les conditions idéales de cadre professionnel pour exercer la médecine d'urgence de manière optimale ? ","Comment définiriez-vous une structure d'urgence idéale?","Comment définiriez-vous un service d'urgence idéal?","Comment définiriez-vous un SAMU-SAS idéal?","Comment définiriez-vous un SMUR idéal?","Comment définiriez-vous le lieu de travail idéal en médecine d'urgence ?","Comment définiriez-vous le nombre d'heures de travail par semaine idéal en médecine d'urgence ?","Comment définiriez-vous le nombre de postes de nuit par semaine idéal en médecine d'urgence ?","Comment définiriez-vous la médecine d'urgence idéale, en terme de type de patients ?","Comment définiriez-vous la médecine d'urgence idéale, en terme de type de soins?","Comment définiriez-vous une situation d'urgence ?","Comment définiriez-vous une situation non urgente ?","Comment définiriez-vous une situation non programmée ?","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception actuelle de la spécialité Médecine d'Urgence (part de l’urgence réelle, relation avec la médecine de ville, relation avec les autres spécialités)?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception future de la spécialité Médecine d'Urgence (part de l’urgence réelle, relation avec la médecine de ville, relation avec les autres spécialités)?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception actuelle sur l'exercice  (horaires, qualité de vie au travail, ambiance) de la médecine d'urgence ?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception future sur l'exercice (horaires, qualité de vie au travail, ambiance) de la médecine d'urgence ? ]","Commentaire libre"
"2025/09/01 10:42:30 AM UTC+1","Oui","Homme","30-40 ans","Hospitalo-universitaire de médecine d'urgence (CCA, MCA, MCU, PA, PU)","8","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales","Un nombre d’heure hebdomadaire restreint, uniquement des patients urgents, des filières de soins de reconsultation développés, des locaux neufs et propres, des collègues compétents ","Une structure avec un cadre non bruyant, un nombre de soignants adapté au nombre de patients, des lits pour hospitaliser les patients rapidement","Un lieu dans lequel les patients consultent pour une problématique d’apparition ou d’aggravation récente (< 24h)
Que tout patient ne doive pas systématiquement être vu par le docteur, que le docteur ne soit pas la ressource de tout (changer le papier de l’imprimante, trouver les affaires des patients etc) et qu’une fois la décision médicale prise (rad ou hospit) la structure gère les modalités sans avoir cette charge mentale permanente d’appeler la terre entière ou commander une ambulance","Un lieu où seul les appels ou il y a une valeur ajoutée à la régulation médicale sont régulés par un médecin, avec une protocolisation pour certains motifs - arrêter de faire société de taxi-ambulance
Avoir des recours à proposer autre que les SU, pouvoir vraiment dispatcher sur les SU alentours (pas de refus des cliniques par exemple)","Un SMUR où il y a une pluvalue à envoyer un médecin sur intervention","Pouvoir faire urgences SAMU et smur à part égale, avec un rôle bien défini de prise en charge et stabilisation de malades à risque d’aggravation
Ne pas être le paillasson de la médecine de ville et de l’hôpital ","24 à 30 heures par semaines, découpés en shift de 8h à ne faire que voir des malades, et pas gérer les problèmes administratifs","Des nuits de 8h (0h-8h) avec des moyens de reconvoquer les patients moins urgents ","Des patients venants pour une problématique d’apparition ou d’aggravation depuis < 24h","Des soins humains, avoir le temps d’expliquer les choses aux patients et leurs famille
Un peu plus de technique (maîtriser la fibroscopie par exemple)","Une situation aiguë mettant en jeu le pronostic vital ou fonctionnel dans les 24h suivant le contact","Une situation pour laquelle l’absence de consultation n’entraîne pas de conséquence vitale ou fonctionnelle non prévu","Un aléa de santé non prévu, d’installation subaigu (12-24h) sans mise en jeu du pronostic vital ou fonctionnel","4","6","3","7",""
"2025/09/01 10:44:33 AM UTC+1","Oui","Homme","40-50 ans","Praticien non chef de service","18","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Moins de flux, moins de nuits, moins de week-ends, moins de temps devant l’ordinateur, moins de difficulté à trouver des places d’hospitalisation, locaux plus neufs et adaptés ","Spacieuse, calme, avec du temps pour chaque patient (examen, information etc)","Idem","Moins d’appel non urgent, pas d’open Space pour moins de bruit","Pas d’avis","Déjà dit","35, moins si nuit","2 par mois","Tout type de patients","Tout type de soins","Pas de def","Situation qui peut se gérer en externe dans la semaine, sans aggravation ","Patient non urgent qui n’a pas trouvé ou cherché de rdv","2","2","1","3",""
"2025/09/01 11:00:06 AM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","5","Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Poste salarié au sein d'un hôpital comportant toutes spécialités avec des effectifs soignants et ressources d'établissement suffisants pour traiter tout patient se présentant ","Hospitalière ","Postes définis et délimités et ratios de soignants par patients strictement définis et respectés","Bon concerné ","Poste exclusivement SMUR sans doublure aux urgences ","Porche du domicile","40 en majorité sans gardes de 24h","3 si pas de 24h","Aucun patient ne relevant de soins primaires non urgents ou de médecine générale ou autre spécialité ambulatoire","Soins hospitaliers uniquement ","Situation menaçant la vie ou pouvant aboutir à un handicap ou une souffrance évitable ","Toute situation dans laquelle un délai supplémentaire n'entraîne pas de conséquence grave pour un patient","Situation non grave","1","1","2","1",""
"2025/09/01 11:18:50 AM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","8","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Espace et équipe dimensionné pour accueillir le flux maximal.","Capacité de triage et de PEC des urgences vitales ou fonctionnelles.","Lieu intra hospitalier permettant la prise en charge des urgences vitales, suffisamment dimensionné pour éviter l'engorgement.","Capacité suffisante pour répondre à la demande sans attente.","Capacité technique et logistique pour répondre à toutes les urgences vitales","Adaptable","28","1","Urgences vitale et fonctionnelle uniquement:
AVC
Infarctus 
Polytraumatisé 
Hémorragies aigue
Etc...","Soins critiques, procédures invasives inclues (accès vasculaire, reboa, thoracostomie, thoracotomie, intubation, cricothyroidothomie etc...)","Situation compromettant le pronostic fonctionnel ou vitale d'un ou de plusieurs patients a courte échéance (heures/Minute) ","Pronostic vital ou fonctionnelles non engagé sur les prochains jours/semaine.","Besoin de soins dans un délais pour lesquelles les possibilités de consultation ne sont pas acceptable (perte de chance)","7","6","6","5",""
"2025/09/01 11:20:08 AM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","7","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Plus de personnel médical et paramédical. Un aval des urgences adaptable et prioritaire pour les urgences.","organisée, protocolée, effectif suffisant, QVT prise en compte, au centre du developpement hospitalier","Organisé autour d'un tri rapide des patients et un premier contact médical rapide, une prise en charge adaptée en filière, une optimisation des délais d'attente des examens complémentaire, un aval ou la priorité est donnée aux urgences sans négociation possible","Une automatisation de la prise d'information par une IA, une évaluation de type tri par les ARM avec l'aide d'un outil d'IA et une régulation par les régulateurs hospitaliers uniquement des cas grave","Lieu de recherche, d'application des protocoles et des simulations sur des cas grave avec des sorties uniquement sur des pathologies jugées grave. Pas de sortie pour de la psychiatrie, des ECG ou des certificats de décès. Une pratique de la médecine intensive en pré hospitalier avec une optimisation du temps lors du SMUR pour de la simulation, de la bibliographie et du travail de formation.","Un lieu ouvert avec de la lumière naturelle, une vue sur les patients mais isolé du bruit et des interruptions de taches. Des couloirs large, des box grands afin de pouvoir y faire rentrer facilement du matériel, un échographe etc ","30 maximum","2 maximum","Pas de patient CCMU1 destiné à une médecine de ville. Uniquement des patients CCMU 2 et + 
Priorité au patient les plus grave. 
","évaluation, diagnostics, gestes ","une situation où le pronostic vital est ou peut etre engagé à court terme ","Une situation où le pronostic vital n'est pas engagé à court terme ","Situation aigue nécessitant une réponse rapide ","4","6","2","3","Les urgences sont le point de tension de la médecine de ville et hospitalière avec une contrainte forte qu'est le flux, le vieillissement de la population et la diminution des moyens humaines et financiers. L'ensemble de ce paysage décourage les investissements humains et de carrière sur le long terme pourtant essentiel pour batir une médecine fondée sur les preuves, organiser les services, exposer et faire comprendre la visions des urgences aux directions et aux autres services ainsi que developper la science au sein de ces unitées"
"2025/09/01 11:34:23 AM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","14","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Pas de gardes de 24h, un temps de travail de 39h max par semaine avec garantie de couper la nuit au moins 3h, une reconnaissance de la pénibilité de notre travail et de notre espérance de vie diminuée, un bed management aux urgences avec les administratifs qui s occupent vraiment de trouver les lits sans qu on perde notre temps et énergie pour ça (et les lits qui vont avec dans les services du coup), un arrêt de la T2A complet avec suppression des pertes de temps de codage, des IA ou logiciels efficaces qui facilitent les tâches administratives stupides et chronophages (bons de transports, arrêts de travail, certificats en tout genre), développer le télétravail pour la régulation...","Une structure où le bien être des patients et des soignants est la priorité et non le coût ou la capacité à pondre des articles","Un service où les locaux et le personnel permette d avoir un temps d attente vraiment bas pour toutes les urgences vraies ou nécessitant des bilans et une partie avec des MG qui gèrent la médecine de ville déficiente ","Délais de réponse bas, moyens ambulanciers adaptés à l activité, sas avec possibilité de rdv rapides avec toutes les spécialités pour désengorger les urgences ","Smur qui se concentre sur la mission du smur , donc pas posté à boucher les trous aux urgences ou en régulation. Suffisamment d équipes pour le territoire la population et les secondaires locaux","Possibilité de salles de pauses, temps de pauses / sieste, avec de la lumière naturelle ","35h idéalement en temps plein ","2 grand max et idéalement même 1 seul","Patients éduqués à ce qu est urgent ou non, patients respectueux et calmes. ","Une médecine ayant le temps d être plus humaine, plus éthique, et centrée sur le bénéfice réel du patient et non le risque médico-social légal ","Toute situation qui nécessite d éliminer des pathologies potentiellement graves à court ou moyen terme, ou une douleur aiguë à prendre en charge","Pathologies nécessitant un suivi au long cours, qui dure depuis longtemps sans aggravation brusque, qui ne présente clairement aucun risque à court ou moyen terme et ne nécessite pas le plateau technique des urgences","Une situation qui est apparue et n était pas prévue ou prévisible facilement","6","6","5","5",""
"2025/09/01 11:53:33 AM UTC+1","Oui","Femme","20-30 ans","Infirmier diplômé d'état","3","Centre Hospitalier Universitaire","Salle d'accueil des urgences vitales;UHCD","Plus de sous effectif et des locaux adaptés avec du matériel adapté ","Une structure adapté au besoin de la population","Une structure bien défini, avec des boxes adaptés et un service adapté aux pathologies rencontrées ","idéal serait un dispositif intégré qui assure une réponse immédiate, adaptée et équitable à toute demande de soins, qu’elle soit urgente ou non programmée","Que les équipes SMUR soient intégrées dans les urgences ","En médecine d’urgence, le lieu de travail idéal est un environnement qui combine sécurité, efficacité et bien-être, tout en permettant une prise en charge rapide et optimale des patients","Le 12 h c’est parfait ","Pas d’enchaînement jour nuit, ce qui est très mauvais pour le rythme circadien surtout que les nuits sont mouvementées ","Des urgences psychiatriques devrait être ouverte pour une meilleure prise en charge ","on pourrait la définir comme une médecine qui combine rapidité, précision, humanité et continuité","Toute situation dans laquelle l’intégrité physique ou psychique d’une personne est menacée, de façon réelle ou potentielle, et qui nécessite une action médicale immédiate et adaptée afin d’éviter l’aggravation ou la mise en danger de la vie.","C’est une situation de santé qui ne met pas en jeu, à court terme, le pronostic vital ni fonctionnel du patient, et qui peut attendre une prise en charge différée","Une situation non programmée correspond à une demande de soins qui n’a pas été prévue à l’avance (contrairement à un rendez-vous planifié), et qui nécessite une consultation ou une prise en charge rapide, sans forcément relever de l’urgence vitale","7","8","1","2",""
"2025/09/01 11:59:24 AM UTC+1","Oui","Homme","30-40 ans","Infirmier diplômé d'état","13","Centre Hospitalier Universitaire","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Un planning bien géré par l'encadrement avec des temps de repos et des desiderata respectés pr favoriser le temps perso. Des collegues qui arrivent à l'heure pour les releves. Des pleins qui soient fait. Des locaux et du materiel en bon état et ergonomique. Une CUMP disponible et efficace. Une vraie salle de pause. De quoi grignoter à minima. Des toilettes propres et accessibles. Des tenues qui reviennent rapidement de la blanchisserie, ...","Propre. Aerée. Pas surchargée... des locaux adaptés et ergonomique. Du materiel fonctionnel. Du personnel en nombre.","Idem qu au dessus","Avec des arm et des doc de ville qui comprennent ce qu ils font et anticipent les questions que le smur va leur poser et les besoins qu ils vont avoir (digicode, ...) Que pr eux aussi le planning soit respecté et qu ils travaillent dans de bonnes conditions pr etre aptes a repondre au mieux à ts les appels de leurs shifts","Avec des vehicules fonctionnels... que le garage et l encadrement ecoute les besoins des professionnels...","Neuf propre aéré ergonomique","3 ou 4 gardes de 12h pr garder du temps personnel de repos","Pas plus de 2","Des gens gentils et polis ce serait deja bien...","Avoir le temps de bien faire, avec le materiel adapté...","Une situation qui necessite une prise en charge immediate psychologique ou medicale","Tout ce qui ne necessite pas une prise en charge dans un délaise inférieur à 15minutes","Quelque chose qu on n attendait pas","2","1","2","1",""
"2025/09/01 12:09:05 PM UTC+1","Oui","Homme","40-50 ans","Praticien non chef de service","18","Centre Hospitalier Universitaire","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD;Urgences pédiatriques ","Disponibilité de l’aval (hospitalisation et consultation de suivi), première ligne (généraliste principalement) plus disponible, pour centrer l’urgence sur les pathologies qui en ont vraiment besoin. 
Bon équilibre travail-vie privée","Association d’un service d’urgence (cf question suivante)avec un espace de consultations (générales) non planifiées pour la prise en charge de ce qui n’a pas besoin d’une structure lourde. ","Sauv bien équipé et spacieux, avec disponibilité de la technicité nécessaire à la réception de tout type de pathologie. Séparation nette des différents flux (pédiatrie, traumatologie , urgence vitale, Urgences non vitale, etc.)
Un système de triage infirmier ou médico-infirmiers est également essentiel.","Non applicable","Le véhicule doit être adapté aux interventions de la zone d’intervention en particulier au niveau du matériel disponible. Il faut pour cela tenir compte des délais d’intervention et des temps de transport. L’aspect régulation est également essentiel en évitant d’envoyer le SMUR vers des missions inutiles pour lesquelles l’équipe médicale n’apporte pas de plus-value.","Un centre hospitalier polyvalent, bien équipé, capable de gérer tous les types de pathologies ou de transférer suffisamment rapidement les patients vers un centre secondaire mieux équipé. Les petits centre périphérique assurant au plus un rôle de dispenser bien équipé ne sont probablement pas adapté à une pratique de la médecine d’urgence moderne dans un pays développé.","40","En moyenne une garde de nuit par semaine par praticien me semble raisonnable. Cependant, grouper les gardes par série de trois à quatre me semble plus confortable en terme d’organisation et de rythme nyctémérien. Cela nous amènerait donc à une série de Garde par mois en moyenne.","Uniquement des patients sympathiques respectueux, et surtout présentant des pathologies suffisamment grave que pour justifier la présence aux urgences.","La combinaison d’une bonne anamnèse d’examen technique, bien orienté et d’une technicité adéquate pour la prise en charge de patients graves. ","Une situation d’urgence est une situation pathologique pour laquelle une prise en charge rapide donc moins de 24 heures par exemple est nécessaire pour éviter une évolution péjorative de l’état du patient.","Toute situation d’évolution lente de problèmes chroniques, ( par exemple hypertension artérielle, non équilibrée, dépendance progressivement croissante d’un patient âgé). 
Toute maladie bénigne et courantes que tout citoyen. Normalement cultivé devrait avoir rencontré au moins une fois dans sa vie (mal de gorge,  mal au ventre courant, petite traumatologie ne limitant pas significativement à la mobilité,…)","Toute situation pathologique aiguë pour lesquelles le délai de rendez-vous en consultation programmable (médecin traitant ou spécialiste) ne permet pas une prise en charge correcte (ne fut que au niveau de la douleur ou d’un simple traitement symptomatique)","6","5","6","7","/"
"2025/09/01 12:10:11 PM UTC+1","Oui","Homme","30-40 ans","Infirmier de pratique avancé","10","Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales","Endroit avec des filières organisées, des staff toutes les semaines, des projets de recherche donc des postes mixtes (cliniques / extracliniques), une salle de pause dédiée, payés à notre juste valeur, et des lits d'aval (en structure ou via le développement de la HAD). La possibilité de faire + de 12h pour les paramedicaux
 (sans forcément atteindre les 24h), la réglementation est obsolète. ","Même réponse que précédemment. ","Les bons acteurs au bons patients au bon moment. Cela résume tout. Graduations des soins, avec chaque professionnel qui développe et exerce ses compétences. L'arrivée des IPA urgences va permettre aux médecins urgentistes de se consacrer à la vraie médecine d'urgence. ","Avec un pôle éducation à la santé qui participe à l'éducation des populations. En fonctions des motifs d'appels annuels. Chaque réponse doit être bienveillante et adaptée à la personne qui appelle. ","Un smur idéal est un smur qui permet la graduations des soins d'urgence prehospitalier. Beaucoup trop de smurs embauchent des agents extérieurs qui ne s'impliquent pas vraiment dans la vie du service. Donc il faudrait : 
- des agents du service avec une politique attractive pour les jeunes desmu (secours montagne, simulations, formation, DU ...) 
- Graduation de la réponse prehospitaliere avec en incluant des IPA Urgences afin de préserver les médecins sur des cas nécessitant une expertise medicale. 
- développer la culture du SSE via des formations en interne. 
- développer les mi temps SAMU SMUR / mi temps SAU avec les mêmes agents.","Une vraie salle de pause avec une salle de relaxation pour faire des court breaks.","Minimum 35h max 45h ","1 / semaine (sauf si volontaires fixes)","Question difficile car dépend d'où on se situe (type d'établissement) et de la personnalité professionnelle de chacun. Avis personnel : peu importe le type de patients, la médecine d'urgence répond à un besoin populationnel actuellement.  Effectivement le patient qui présente une atteinte bénigne qui se présente aux urgences n'est peut être pas au bon endroit. Cela représente une défaillance du système public (mauvaise répartition de l'accès aux soins, offre défaillante de l'offre de soin...) est ce la faute des services d'urgences ? Non. Les services d'urgences y peuvent quelque chose ? Oui. Développer des postes et des missions extra cliniques afin de s'apprivoiser des problèmes de santé publique actuels qui touchent les services d'urgences. Il faut des gens qui connaissent le terrain pour evoquer et construire des solutions afin de fluidifier le parcours patient. Il faut developper une culture de la medecine durgence dès la primaire. Cest un gros chantier , qui savere passionnant! Mais il n'y a plus de sous donc on attend que le temps passe. Sinon j'insiste sur la nécessité de s'organiser autour de filières. Mais faut du temps de travail pour tout organiser, trop d'agents travaillent sur leur temps de repos et il faut que la France valorise le travail tout simplement.","Il faut absolument que la médecine d'urgence s'adapte aux nouvelles pratiques techniques et soignantes (dispositifs médicaux, nouvelles thérapeutiques...) parfois l'accès aux dernière recos est difficile donc une politique d'efficience dans les soins d'urgence ne peut pas être mise en place. ","Situation dans laquelle un être vivant est menacé sur le plan vital (mental et/ou organique par des causes extrinseques ou intrinsèques. Cette situation peut être stabilisée ou reversée par une ou des tierce personnes, ou même par la personne elle même si elle dispose d'outils spécifiques à la gestion de la situations. Ces outils peuvent être des connaissances particulières et/ou des dispositifs permettant la réversion ou la stabilisation de la situation d'urgence. ","Situation pour laquelle le pronostic vital n'est pas immédiatement engagé (ou ne sera pas engagé à court terme (jours - semaines - mois).Cependant, la personne peut ne pas connaître la limite entre la situation non urgente de la situation urgente. Des informations tierces sont nécessaires pour mesurer le degré d'urgence (connaissance, campagnes de santé publique, consultation avec IPA dans le cadre de la prévention ou dépistage de soins, consultation avec médecin généraliste même si je pense réellement que les infirmiers peuvent remplir ce rôle là, comme le font parfaitement à l'accueil des urgences), et si en dernier recours le patient se retrouve dans un centre de médecine d'urgence : donner la souplesse juridique et la logistique humaine aux infirmiers de pouvoir réorienter dans la bonne filière. ","Une situation qui n'était pas prévue, d'une problématique aiguë touchant au corps et/ ou à l'esprit d'une personne mais ne présentant pas de gravité factuelle pouvant être prise en compte par une équipe ou personnel soignants dans les 48h. Souvent la douleur ou l'inconfort motivent les personnes à consulter dans la journée ce qui peut être légitime.","6","7","4","4","Vivement que les personnes qui organisent et développent la médecine d'urgence au quotidien puissent avoir une vraie force décisionnelle en étant les vrais acteurs principaux de la médecine d'urgence du futur. Il faut pousser pour que les ratios soignants - patients aux urgences voient le jour (loi déjà votée, en attente des rapports et décrets) : ce sera la clé de voûte de la médecine d'urgence de demain."
