word,n,proportion
patients,264,1.6048632218844985
charge,199,1.209726443768997
urgences,196,1.1914893617021276
plus,192,1.1671732522796352
soins,191,1.1610942249240122
non,190,1.155015197568389
patient,180,1.094224924012158
situation,176,1.0699088145896656
prise,162,0.9848024316109422
service,132,0.8024316109422492
temps,132,0.8024316109422492
médecine,129,0.78419452887538
tout,102,0.6200607902735562
travail,94,0.5714285714285714
structure,89,0.541033434650456
personnel,85,0.5167173252279635
médecin,82,0.49848024316109424
moins,81,0.4924012158054711
rapide,81,0.4924012158054711
smur,75,0.4559270516717325
peut,73,0.44376899696048633
vital,72,0.43768996960486317
matériel,67,0.4072948328267477
bien,66,0.4012158054711246
nombre,66,0.4012158054711246
tous,65,0.3951367781155016
adapté,62,0.3768996960486322
locaux,62,0.3768996960486322
ville,62,0.3768996960486322
flux,60,0.364741641337386
pronostic,60,0.364741641337386
équipe,56,0.3404255319148936
pouvant,55,0.3343465045592705
vitale,55,0.3343465045592705
moyens,52,0.3161094224924012
nécessitant,52,0.3161094224924012
urgence,52,0.3161094224924012
médical,51,0.3100303951367781
bonne,50,0.303951367781155
adaptés,49,0.2978723404255319
médecins,48,0.2917933130699088
samu,48,0.2917933130699088
entre,46,0.27963525835866265
santé,46,0.27963525835866265
médicale,44,0.2674772036474164
générale,43,0.26139817629179335
heures,42,0.2553191489361702
lits,42,0.2553191489361702
semaine,42,0.2553191489361702
services,42,0.2553191489361702
fonctionnel,41,0.24924012158054712
régulation,41,0.24924012158054712
afin,40,0.24316109422492402
doit,40,0.24316109422492402
soignants,40,0.24316109422492402
suffisant,40,0.24316109422492402
nuit,39,0.2370820668693009
terme,39,0.2370820668693009
formation,38,0.23100303951367782
consultation,36,0.21884498480243159
immédiate,36,0.21884498480243159
technique,36,0.21884498480243159
bon,34,0.20668693009118544
chaque,34,0.20668693009118544
ide,34,0.20668693009118544
prendre,34,0.20668693009118544
réponse,34,0.20668693009118544
vitales,34,0.20668693009118544
clinique,33,0.2006079027355623
comme,33,0.2006079027355623
court,33,0.2006079027355623
donc,33,0.2006079027355623
fonction,33,0.2006079027355623
pathologie,33,0.2006079027355623
suffisamment,33,0.2006079027355623
urgents,33,0.2006079027355623
place,32,0.1945288753799392
salle,32,0.1945288753799392
sau,32,0.1945288753799392
urgente,32,0.1945288753799392
effectif,31,0.1884498480243161
jours,30,0.182370820668693
risque,30,0.182370820668693
équipes,30,0.182370820668693
adaptée,29,0.1762917933130699
autres,29,0.1762917933130699
besoin,29,0.1762917933130699
lieu,29,0.1762917933130699
type,29,0.1762917933130699
vie,29,0.1762917933130699
nécessite,28,0.1702127659574468
pouvoir,28,0.1702127659574468
question,28,0.1702127659574468
avant,27,0.1641337386018237
rapidement,27,0.1641337386018237
toute,27,0.1641337386018237
assez,26,0.1580547112462006
douleur,26,0.1580547112462006
grave,26,0.1580547112462006
max,26,0.1580547112462006
possible,26,0.1580547112462006
toutes,26,0.1580547112462006
aiguë,25,0.1519756838905775
aussi,25,0.1519756838905775
fait,25,0.1519756838905775
plateau,25,0.1519756838905775
trop,25,0.1519756838905775
grand,24,0.1458966565349544
maximum,24,0.1458966565349544
plusieurs,24,0.1458966565349544
relevant,24,0.1458966565349544
vers,24,0.1458966565349544
attendre,23,0.13981762917933133
engagé,23,0.13981762917933133
filière,23,0.13981762917933133
jeu,23,0.13981762917933133
organisation,23,0.13981762917933133
conditions,22,0.1337386018237082
faut,22,0.1337386018237082
filières,22,0.1337386018237082
idéal,22,0.1337386018237082
moyen,22,0.1337386018237082
traumatologie,22,0.1337386018237082
uniquement,22,0.1337386018237082
accès,21,0.1276595744680851
avis,21,0.1276595744680851
cas,21,0.1276595744680851
manque,21,0.1276595744680851
pathologies,21,0.1276595744680851
personnels,21,0.1276595744680851
possibilité,21,0.1276595744680851
spécialistes,21,0.1276595744680851
tri,21,0.1276595744680851
depuis,20,0.12158054711246201
garde,20,0.12158054711246201
qualité,20,0.12158054711246201
sas,20,0.12158054711246201
selon,20,0.12158054711246201
soin,20,0.12158054711246201
dont,19,0.11550151975683891
délais,19,0.11550151975683891
dépend,19,0.11550151975683891
formations,19,0.11550151975683891
gardes,19,0.11550151975683891
gestion,19,0.11550151975683891
manière,19,0.11550151975683891
mois,19,0.11550151975683891
nécessaire,19,0.11550151975683891
paramed,19,0.11550151975683891
paramédical,19,0.11550151975683891
part,19,0.11550151975683891
protocoles,19,0.11550151975683891
rapides,19,0.11550151975683891
urgent,19,0.11550151975683891
voir,19,0.11550151975683891
box,18,0.10942249240121579
disponible,18,0.10942249240121579
doivent,18,0.10942249240121579
généraliste,18,0.10942249240121579
lit,18,0.10942249240121579
pec,18,0.10942249240121579
personnes,18,0.10942249240121579
professionnels,18,0.10942249240121579
secteur,18,0.10942249240121579
dessus,17,0.10334346504559272
efficace,17,0.10334346504559272
jour,17,0.10334346504559272
monde,17,0.10334346504559272
permettant,17,0.10334346504559272
respect,17,0.10334346504559272
activité,16,0.0972644376899696
arm,16,0.0972644376899696
car,16,0.0972644376899696
centre,16,0.0972644376899696
couloirs,16,0.0972644376899696
poste,16,0.0972644376899696
postes,16,0.0972644376899696
prises,16,0.0972644376899696
quand,16,0.0972644376899696
spécialité,16,0.0972644376899696
structures,16,0.0972644376899696
vraiment,16,0.0972644376899696
accueil,15,0.0911854103343465
cadre,15,0.0911854103343465
chronique,15,0.0911854103343465
compétences,15,0.0911854103343465
déjà,15,0.0911854103343465
délai,15,0.0911854103343465
fois,15,0.0911854103343465
fonctionnement,15,0.0911854103343465
géré,15,0.0911854103343465
hospitalier,15,0.0911854103343465
interne,15,0.0911854103343465
médicaux,15,0.0911854103343465
personne,15,0.0911854103343465
sauv,15,0.0911854103343465
