word,sentiment,n
charge,negative,199
patient,negative,180
situation,positive,176
service,positive,132
temps,positive,132
médecine,positive,129
travail,positive,94
structure,positive,89
personnel,positive,85
médecin,positive,82
moins,negative,81
rapide,positive,81
vital,positive,72
matériel,positive,67
bien,positive,66
nombre,positive,66
ville,positive,62
pronostic,positive,60
urgence,negative,52
médical,positive,51
santé,positive,46
semaine,positive,42
fonctionnel,positive,41
régulation,positive,41
suffisant,positive,40
nuit,negative,39
terme,positive,39
formation,positive,38
consultation,positive,36
technique,positive,36
bon,positive,34
prendre,negative,34
réponse,positive,34
court,negative,33
fonction,positive,33
pathologie,negative,33
suffisamment,positive,33
salle,positive,32
risque,negative,30
besoin,positive,29
lieu,positive,29
type,negative,29
vie,positive,29
pouvoir,negative,28
douleur,negative,26
possible,positive,26
plateau,positive,25
grand,positive,24
maximum,positive,24
attendre,negative,23
filière,positive,23
organisation,positive,23
moyen,positive,22
accès,positive,21
possibilité,positive,21
tri,positive,21
garde,positive,20
qualité,positive,20
soin,positive,20
gestion,positive,19
manière,negative,19
part,positive,19
urgent,negative,19
box,positive,18
disponible,positive,18
lit,positive,18
secteur,positive,18
efficace,positive,17
jour,positive,17
monde,positive,17
respect,positive,17
activité,positive,16
centre,positive,16
poste,positive,16
spécialité,positive,16
accueil,positive,15
cadre,positive,15
chronique,positive,15
interne,positive,15
personne,positive,15
communication,positive,14
perte,negative,14
problème,negative,14
repos,positive,14
calme,positive,13
espace,positive,13
gérer,positive,13
surtout,positive,13
danger,negative,12
diagnostic,positive,12
difficile,negative,12
endroit,positive,12
façon,positive,12
immédiat,positive,12
orientation,positive,12
pause,negative,12
physique,positive,12
plein,positive,12
taille,positive,12
éviter,negative,12
aval,positive,11
brancard,negative,11
capable,positive,11
chance,positive,11
exemple,positive,11
idem,positive,11
imagerie,positive,11
long,positive,11
minimum,negative,11
motif,positive,11
métier,positive,11
proximité,positive,11
arrêter,negative,10
capacité,positive,10
cohésion,positive,10
domicile,positive,10
gens,positive,10
parcours,positive,10
permettre,positive,10
population,positive,10
publique,positive,10
social,positive,10
sécurité,positive,10
accessible,positive,9
adéquat,positive,9
appel,negative,9
bureau,positive,9
circuit,positive,9
complet,positive,9
fluide,positive,9
heure,positive,9
hôpital,negative,9
lumière,positive,9
maintien,positive,9
mettre,positive,9
niveau,positive,9
notamment,positive,9
polyvalent,positive,9
propre,positive,9
quantité,positive,9
traiter,positive,9
travailler,positive,9
également,positive,9
état,positive,9
accueillir,positive,8
biologie,positive,8
confort,positive,8
connaissance,positive,8
contact,positive,8
décision,positive,8
définition,positive,8
externe,negative,8
facilement,positive,8
fluidité,positive,8
journée,positive,8
limiter,negative,8
marche,positive,8
meilleur,positive,8
moment,positive,8
passage,positive,8
pratique,positive,8
professionnel,positive,8
ratio,positive,8
recours,positive,8
réaliser,positive,8
réguler,positive,8
répondre,positive,8
simple,positive,8
spécialiste,positive,8
traitement,positive,8
transfert,positive,8
événement,positive,8
absence,negative,7
acceptable,positive,7
aggravation,negative,7
ambiance,positive,7
compte,positive,7
conséquence,positive,7
correctement,positive,7
discuter,positive,7
donner,positive,7
environnement,positive,7
faute,negative,7
favoriser,positive,7
important,positive,7
infirmier,positive,7
intervention,positive,7
limite,negative,7
lumineux,positive,7
moyenne,positive,7
radio,positive,7
recevoir,positive,7
recherche,positive,7
réanimation,negative,7
rôle,positive,7
sein,positive,7
simulation,negative,7
spacieux,positive,7
système,positive,7
vue,positive,7
véhicule,positive,7
zone,positive,7
améliorer,positive,6
but,positive,6
compétence,positive,6
confiance,positive,6
critère,positive,6
diagnostique,positive,6
direction,positive,6
